Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.71523,2.05807,1.03501,0.67366,0.96108,1.72061,1.39484,1.36572,0.81622,0.53021,1.06312,1.58184,1.41056,1.13578,0.37221,0.67977,
5 to 9,2.54782,8.14613,3.79072,1.33931,0.71449,0.88028,1.77989,2.16404,1.47273,0.94642,0.90094,1.39299,1.1371,1.4174,0.87334,0.82375,
10 to 14,1.38039,2.5951,11.22727,4.04426,0.73785,0.38105,1.05414,1.62988,1.40583,0.96876,1.05258,0.74644,0.56801,0.86933,0.52791,0.91317,
15 to 19,0.96247,1.14096,1.97614,9.08161,3.30106,1.03975,0.47103,1.07127,1.31765,1.46775,1.36402,1.11638,0.72819,0.63296,0.58962,0.96516,
20 to 24,1.35981,0.6025,0.87256,2.34213,4.28367,2.23777,0.92825,0.5897,0.76795,0.95528,1.18397,0.92398,0.56146,0.54892,0.15799,0.30051,
25 to 29,1.7773,1.32811,0.73642,1.15148,2.32028,2.69591,1.60942,0.98451,0.76212,0.72538,1.12734,1.21634,0.72366,0.59784,0.31751,0.25739,
30 to 34,1.62501,1.38798,0.90579,0.73463,1.27675,1.68154,1.69518,1.28929,1.00451,0.68496,0.78529,0.96792,0.69926,0.7187,0.18933,0.24309,
35 to 39,1.42433,1.45544,1.20743,1.10468,0.99115,1.18879,1.47451,1.61666,1.21241,0.82343,0.6625,0.67521,0.71686,0.72566,0.37063,0.47934,
40 to 44,0.93676,1.17074,1.23698,1.13631,0.88909,0.91259,0.99077,1.32418,1.26558,0.85182,0.81143,0.59519,0.47707,0.44629,0.26688,0.34381,
45 to 49,0.70096,0.64267,0.83912,1.06593,1.07285,0.8713,0.78331,0.84703,0.996,0.86217,0.90167,0.57875,0.38876,0.24739,0.23324,0.30454,
50 to 54,0.84705,0.49754,0.53949,0.58477,0.71525,0.83629,0.68749,0.61769,0.65345,0.63084,0.67915,0.66812,0.37365,0.24804,0.16416,0.28504,
55 to 59,0.80826,0.56517,0.36001,0.3112,0.49325,0.50002,0.55523,0.43094,0.28367,0.32351,0.54063,0.45082,0.41369,0.28653,0.12425,0.13285,
60 to 64,0.558,0.51257,0.27052,0.2107,0.21353,0.23653,0.29916,0.3353,0.23702,0.15701,0.20427,0.2911,0.2112,0.23966,0.18245,0.07828,
65 to 69,0.43775,0.3527,0.26825,0.16332,0.12138,0.11833,0.14706,0.20184,0.13754,0.08484,0.07862,0.12673,0.17497,0.13354,0.14409,0.1334,
70 to 74,0.28489,0.17649,0.19917,0.09532,0.12699,0.05642,0.06882,0.10663,0.08255,0.06301,0.05176,0.04908,0.08613,0.08555,0.11655,0.09708,
75+,0.1419,0.13178,0.16963,0.06316,0.10217,0.03353,0.06107,0.04235,0.03885,0.05196,0.04065,0.03187,0.03441,0.03992,0.07423,0.03975,
