Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.61052,1.01782,0.37144,0.20641,0.37937,0.91692,1.01667,0.91974,0.56734,0.3435,0.58819,1.07333,1.11824,0.59642,0.20751,0.15418,
5 to 9,1.12282,7.36994,2.36049,0.45552,0.28267,0.43273,1.13836,1.31549,0.92732,0.63222,0.637,1.09701,1.04438,0.84559,0.55061,0.20215,
10 to 14,0.62439,1.54572,10.86267,2.73482,0.35179,0.22848,0.82778,1.11278,1.08707,0.74185,0.85158,0.70114,0.63865,0.65654,0.42083,0.27323,
15 to 19,0.38883,0.4724,0.92868,6.4067,1.96077,0.69953,0.3861,0.62668,0.86165,1.02283,0.94881,0.83507,0.62261,0.34556,0.35878,0.22157,
20 to 24,0.63549,0.27891,0.37906,1.11871,3.45477,2.209,1.1398,0.73302,0.94125,0.9638,1.16775,0.92368,0.59486,0.35149,0.11118,0.08136,
25 to 29,0.98789,0.70197,0.33726,0.5535,1.84772,3.54768,2.07906,1.45408,1.3264,1.14921,1.59836,1.44172,0.90478,0.4454,0.22496,0.07884,
30 to 34,1.12504,1.02762,0.5194,0.39122,1.17037,2.11337,2.8535,1.82332,1.70287,1.32547,1.44224,1.50446,1.02914,0.65041,0.2055,0.12115,
35 to 39,0.95454,1.05511,0.74028,0.58858,0.98688,1.58888,2.0693,2.62352,1.89745,1.52334,1.36867,1.09872,1.04278,0.64319,0.36611,0.17587,
40 to 44,0.60551,0.86251,0.83982,0.74024,0.95681,1.43883,1.67707,2.19627,2.65965,1.78519,2.02699,1.26837,0.88915,0.57799,0.37559,0.17362,
45 to 49,0.40024,0.41669,0.50673,0.68565,1.11571,1.2801,1.38679,1.51657,1.97287,2.09406,2.25244,1.15979,0.75728,0.3213,0.28911,0.17852,
50 to 54,0.48973,0.3103,0.30362,0.36343,0.80802,1.26283,1.16503,1.16945,1.47308,1.44415,2.07464,1.4503,0.76708,0.36687,0.22726,0.17723,
55 to 59,0.4393,0.33664,0.18639,0.16098,0.41707,0.60395,0.77389,0.59916,0.48315,0.5951,1.02071,1.22339,0.81175,0.39407,0.17082,0.10292,
60 to 64,0.32405,0.32033,0.1447,0.108,0.17174,0.26769,0.39014,0.43995,0.33081,0.25846,0.39384,0.63526,0.73486,0.40066,0.29163,0.07783,
65 to 69,0.24452,0.21729,0.14404,0.08342,0.08064,0.11123,0.18297,0.26246,0.18398,0.12449,0.15186,0.28328,0.41992,0.42893,0.25313,0.11301,
70 to 74,0.16323,0.11474,0.11318,0.05286,0.09092,0.06188,0.10024,0.16184,0.12946,0.11363,0.11352,0.14268,0.25777,0.20011,0.27809,0.10058,
75+,0.08643,0.08755,0.09344,0.03729,0.0758,0.0395,0.08979,0.0644,0.06128,0.10174,0.09811,0.09962,0.10473,0.09537,0.12501,0.07469,
