Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.46129,1.73233,0.96025,0.53884,0.82914,1.31343,1.23069,1.19023,0.87832,0.4623,0.6308,0.90736,1.05362,0.67054,0.3429,0.42916,
5 to 9,2.04297,8.50875,3.3394,1.02653,0.57702,0.57184,1.23965,1.46918,1.27308,0.81493,0.71253,0.95759,0.96014,0.90615,0.83033,0.53699,
10 to 14,1.15432,2.24958,9.59198,3.29267,0.59456,0.28353,0.76728,1.00325,1.11986,0.77595,0.81006,0.55424,0.51944,0.66127,0.54328,0.67268,
15 to 19,0.67803,0.77397,1.41252,7.59814,2.60888,0.78595,0.38159,0.60376,0.7763,0.89708,0.80108,0.65404,0.50012,0.36618,0.39705,0.52119,
20 to 24,1.05721,0.47436,0.70066,1.87617,3.81509,2.0606,1.00351,0.65051,0.7856,0.72295,0.81006,0.62295,0.51184,0.38301,0.12244,0.14708,
25 to 29,1.53435,1.04082,0.62934,0.99555,2.23442,3.03534,1.93905,1.41539,1.26331,0.99041,1.19865,1.02481,0.89333,0.64062,0.24079,0.14882,
30 to 34,1.66438,1.26945,0.819,0.69767,1.41406,2.12672,2.35435,1.76756,1.71324,1.26215,1.25689,1.23952,0.96665,0.71688,0.16075,0.15829,
35 to 39,1.4374,1.31421,1.02026,0.92033,1.15345,1.67591,2.01526,2.27183,1.88419,1.4703,1.27779,1.06934,1.09576,0.50345,0.26317,0.24039,
40 to 44,1.00168,1.14883,1.13607,0.99773,0.99307,1.41523,1.62762,2.10255,2.19169,1.53615,1.74766,1.27955,1.05505,0.65781,0.21717,0.23467,
45 to 49,0.70134,0.60637,0.7545,0.91325,1.06509,1.15929,1.30184,1.43196,1.74609,1.51627,1.7708,1.08423,0.99833,0.46056,0.1983,0.24252,
50 to 54,0.82088,0.47898,0.49803,0.5127,0.76661,1.06557,1.01153,1.11662,1.33215,1.14885,1.4701,1.2142,0.92142,0.64425,0.23414,0.2699,
55 to 59,0.75787,0.51393,0.32496,0.27193,0.49661,0.60579,0.74967,0.63351,0.55994,0.6397,0.96089,0.89554,0.88425,0.48421,0.14638,0.12427,
60 to 64,0.55803,0.49502,0.25146,0.19533,0.26659,0.36209,0.4169,0.40922,0.40712,0.31265,0.41433,0.51175,0.43714,0.38116,0.24781,0.07692,
65 to 69,0.46139,0.3561,0.26588,0.16417,0.13858,0.16866,0.20577,0.2352,0.20699,0.1592,0.15402,0.20498,0.26197,0.17281,0.16306,0.10881,
70 to 74,0.3078,0.18119,0.19366,0.0884,0.11892,0.0552,0.06832,0.10378,0.08375,0.06808,0.06698,0.05918,0.11578,0.09017,0.1228,0.07958,
75+,0.15307,0.134,0.16029,0.05923,0.09452,0.03292,0.06156,0.04184,0.04124,0.05995,0.05075,0.03948,0.04106,0.0422,0.07006,0.03882,
