Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.66571,1.08655,0.51416,0.2869,0.45048,0.84907,0.84459,0.89751,0.60483,0.33585,0.54618,0.89874,0.9662,0.55542,0.26255,0.1707,
5 to 9,1.29482,7.47907,2.78336,0.63102,0.34041,0.41196,0.973,1.27847,0.98304,0.61814,0.55814,0.91068,0.90605,0.79006,0.69572,0.22586,
10 to 14,0.76148,1.73202,11.81966,3.67607,0.4131,0.21589,0.70992,1.0838,1.11157,0.72009,0.75056,0.58345,0.55552,0.61779,0.52906,0.30609,
15 to 19,0.48237,0.56306,1.21971,9.52781,2.29252,0.65274,0.33254,0.61834,0.86296,0.94632,0.84392,0.71286,0.55355,0.33097,0.45204,0.25097,
20 to 24,0.78053,0.33264,0.51567,1.45416,3.56746,1.94433,0.96073,0.67395,0.83679,0.81174,0.95054,0.7582,0.54396,0.36475,0.13563,0.08968,
25 to 29,1.14815,0.80213,0.4538,0.71891,1.89914,2.85162,1.70119,1.2786,1.07135,0.869,1.17119,1.14468,0.82425,0.51502,0.27854,0.08507,
30 to 34,1.27326,1.09469,0.67305,0.49928,1.20039,1.81854,2.21597,1.64868,1.44024,1.00788,1.03545,1.20267,0.94981,0.70938,0.25658,0.13144,
35 to 39,1.0829,1.10345,0.90884,0.73576,0.97812,1.3563,1.71206,2.21904,1.60889,1.17056,0.95523,0.87013,0.96866,0.62893,0.45043,0.19602,
40 to 44,0.72526,0.94401,1.02058,0.86934,0.89001,1.12258,1.2983,1.81565,1.98589,1.25295,1.27368,0.92552,0.80676,0.62108,0.46233,0.19618,
45 to 49,0.48541,0.4691,0.63755,0.79852,1.01367,0.97091,1.01773,1.184,1.41402,1.35003,1.36698,0.8232,0.67186,0.36145,0.35489,0.19675,
50 to 54,0.58695,0.35233,0.39636,0.43025,0.6979,0.91293,0.83614,0.85572,0.96846,0.93732,1.15437,1.00111,0.64489,0.4105,0.27388,0.1947,
55 to 59,0.53691,0.38564,0.24885,0.20386,0.42336,0.49967,0.62242,0.53001,0.38814,0.44423,0.73714,0.84775,0.71126,0.39936,0.20181,0.10908,
60 to 64,0.39365,0.37169,0.19574,0.146,0.20164,0.2627,0.35292,0.43492,0.33708,0.24424,0.34401,0.5257,0.55732,0.38746,0.34474,0.08201,
65 to 69,0.30233,0.25277,0.19573,0.11422,0.10373,0.12315,0.17498,0.26724,0.20526,0.1361,0.14494,0.23637,0.35356,0.33129,0.29778,0.12073,
70 to 74,0.20043,0.13239,0.15086,0.07056,0.10235,0.0553,0.08207,0.15244,0.12773,0.10446,0.09822,0.11017,0.20372,0.17374,0.29169,0.10703,
75+,0.10211,0.09778,0.12328,0.04761,0.08342,0.03329,0.07182,0.06028,0.05995,0.09089,0.08115,0.07466,0.08185,0.08111,0.14512,0.07102,
