Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.65525,1.15505,0.59181,0.34746,0.53785,0.84442,0.68762,0.66018,0.44653,0.26796,0.36735,0.48798,0.54005,0.30952,0.16388,0.1545,
5 to 9,1.30728,6.307,2.4224,0.68999,0.39634,0.44452,0.85942,0.95372,0.6755,0.47957,0.378,0.52961,0.48471,0.42854,0.41202,0.22279,
10 to 14,0.92696,1.76635,7.76253,2.90782,0.53066,0.26604,0.81779,1.09561,0.97666,0.68154,0.61554,0.43109,0.38815,0.4531,0.43965,0.42792,
15 to 19,0.61637,0.66484,1.31048,7.21904,2.81674,0.87954,0.42939,0.81773,0.93823,1.05237,0.80845,0.66832,0.46518,0.29763,0.4129,0.42757,
20 to 24,0.92394,0.3869,0.60692,1.96745,4.27396,2.24908,1.07484,0.7231,0.90434,0.86197,0.87016,0.69888,0.53727,0.34655,0.11216,0.13399,
25 to 29,1.13167,0.87925,0.52503,0.9841,2.29649,3.08454,1.79183,1.31038,1.11166,0.89981,1.10188,1.02614,0.78437,0.53532,0.24177,0.10364,
30 to 34,1.15634,1.05232,0.75927,0.71413,1.48523,2.02116,2.24848,1.63964,1.44241,1.04464,1.03801,1.12879,0.86615,0.65608,0.19283,0.15489,
35 to 39,0.99667,1.02157,0.95729,0.98297,1.22812,1.55573,1.83288,2.12794,1.63663,1.21322,0.9959,0.8918,0.97347,0.54939,0.41074,0.32139,
40 to 44,0.69477,0.85555,0.98642,1.05726,1.07665,1.27837,1.39066,1.84341,1.92033,1.27,1.34088,1.01743,0.85766,0.57363,0.39704,0.31669,
45 to 49,0.49595,0.47094,0.65587,0.94318,1.16257,1.10096,1.12501,1.23853,1.45491,1.31495,1.39938,0.88135,0.75665,0.37803,0.27447,0.28005,
50 to 54,0.59097,0.35868,0.42812,0.52094,0.81401,1.02253,0.93053,0.93366,1.07171,0.96984,1.17484,1.01338,0.6843,0.40235,0.19076,0.25029,
55 to 59,0.53528,0.39724,0.27953,0.28007,0.54401,0.60846,0.72923,0.59465,0.47475,0.53996,0.80887,0.85644,0.77351,0.38737,0.1485,0.11863,
60 to 64,0.3947,0.37954,0.21954,0.19862,0.28313,0.33684,0.40503,0.44847,0.38072,0.27149,0.34777,0.48955,0.45869,0.36966,0.2418,0.08723,
65 to 69,0.30635,0.25582,0.21742,0.14967,0.13944,0.15661,0.20174,0.26196,0.20381,0.14445,0.12202,0.17279,0.26668,0.25687,0.22812,0.13259,
70 to 74,0.20542,0.13462,0.16806,0.08766,0.12896,0.0638,0.08481,0.1428,0.1201,0.09122,0.0717,0.06875,0.12748,0.13641,0.21157,0.12244,
75+,0.1023,0.09897,0.137,0.05887,0.10527,0.03688,0.07547,0.05701,0.05813,0.08201,0.06172,0.04722,0.05282,0.06021,0.1155,0.08116,
