Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.38844,0.73702,0.28062,0.18233,0.30993,0.63463,0.70942,0.68718,0.50366,0.31006,0.50255,0.82552,1.11693,1.01646,0.54738,0.40101,
5 to 9,0.77709,6.55347,2.16954,0.41933,0.24349,0.28939,0.7949,0.98704,0.83556,0.5616,0.509,0.83898,1.02246,1.44774,1.47035,0.51539,
10 to 14,0.39356,1.05633,11.20758,3.62836,0.29863,0.15912,0.59367,0.85626,1.05272,0.70487,0.68644,0.54023,0.63248,1.1277,1.17076,0.7054,
15 to 19,0.25538,0.29228,0.89855,10.8121,2.58336,0.49197,0.27822,0.46821,0.85268,1.02931,0.83337,0.67578,0.63774,0.61475,1.00745,0.57842,
20 to 24,0.4029,0.19288,0.32858,1.1028,3.55212,1.63655,0.85113,0.58095,0.81923,0.90478,1.0513,0.77399,0.62854,0.63838,0.34801,0.22702,
25 to 29,0.67072,0.43754,0.27857,0.48988,1.52395,3.13196,1.79455,1.36348,1.26459,1.08899,1.47044,1.37683,1.04109,0.86136,0.70405,0.22896,
30 to 34,0.75943,0.72014,0.4683,0.34953,0.95586,1.83819,2.78901,1.7784,1.74104,1.29817,1.33053,1.56396,1.2532,1.25341,0.61909,0.35568,
35 to 39,0.63927,0.71407,0.68258,0.56899,0.80265,1.4352,1.94239,2.76743,1.96431,1.51356,1.2568,1.1645,1.2741,1.29736,1.15826,0.47898,
40 to 44,0.36988,0.53625,0.73181,0.75209,0.7702,1.21537,1.50136,2.05667,2.72194,1.63002,1.67878,1.27515,1.05614,1.14597,1.21809,0.48411,
45 to 49,0.24629,0.25906,0.43495,0.69816,0.94344,1.04432,1.18876,1.36101,1.76226,2.05459,1.80782,1.08866,0.86271,0.65083,0.93615,0.53652,
50 to 54,0.31162,0.18548,0.24435,0.34103,0.64964,1.00632,0.9479,1.00394,1.23508,1.23212,1.82076,1.3248,0.84533,0.72277,0.68754,0.52516,
55 to 59,0.26979,0.2107,0.15064,0.14922,0.35344,0.53995,0.71734,0.59126,0.51043,0.60493,0.97671,1.46405,1.01386,0.80695,0.54347,0.3195,
60 to 64,0.20266,0.19335,0.11833,0.1012,0.14793,0.24164,0.35151,0.39634,0.3609,0.28175,0.39836,0.64036,1.06903,0.8537,0.94514,0.2474,
65 to 69,0.14311,0.12904,0.11693,0.07909,0.0689,0.08998,0.14563,0.22565,0.19811,0.14271,0.15833,0.26756,0.52037,1.07997,0.84488,0.35098,
70 to 74,0.0959,0.06837,0.09467,0.04951,0.07894,0.04692,0.07478,0.13523,0.13937,0.12829,0.11572,0.13645,0.31859,0.41823,1.07458,0.31478,
75+,0.05542,0.05588,0.07949,0.0389,0.06973,0.03513,0.06967,0.05414,0.06634,0.1234,0.11301,0.10309,0.13362,0.20939,0.39278,0.27948,
