Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,1.94521,0.99641,0.29459,0.16679,0.25311,0.63267,0.89425,0.86745,0.58835,0.35767,0.52838,1.12853,1.4846,1.06256,0.47577,0.3525,
5 to 9,1.05268,8.09424,2.3105,0.37569,0.19894,0.2979,1.02839,1.24707,0.95546,0.63651,0.55461,1.14079,1.37131,1.50698,1.27249,0.45563,
10 to 14,0.52125,1.28999,10.88352,3.36188,0.23234,0.15922,0.75494,1.08365,1.15364,0.75594,0.7302,0.71697,0.83776,1.16973,0.98593,0.62203,
15 to 19,0.34338,0.37926,0.88798,10.03299,2.02263,0.48217,0.3411,0.58542,0.92763,1.06037,0.84508,0.86942,0.81959,0.62148,0.83745,0.50541,
20 to 24,0.5291,0.23844,0.32841,0.91321,2.71165,1.71696,1.06908,0.72828,0.94048,0.97153,1.05759,0.96847,0.76315,0.62525,0.26554,0.1881,
25 to 29,0.84668,0.55546,0.28081,0.41419,1.38343,3.20237,2.17263,1.64834,1.46254,1.23218,1.57476,1.62732,1.19288,0.79568,0.54597,0.18139,
30 to 34,0.93831,0.86676,0.45299,0.29179,0.91217,1.9433,3.1091,2.06306,1.91257,1.43176,1.44589,1.7593,1.38729,1.16734,0.48441,0.28147,
35 to 39,0.77608,0.84659,0.65062,0.46686,0.82358,1.58009,2.25676,3.0832,2.1592,1.67491,1.40088,1.30381,1.39332,1.18697,0.87705,0.39578,
40 to 44,0.4727,0.65261,0.7008,0.59496,0.7384,1.37021,1.75148,2.39944,2.88353,1.80316,1.89385,1.42058,1.12853,1.03753,0.90466,0.39417,
45 to 49,0.32014,0.31724,0.41497,0.53916,0.81978,1.15104,1.41019,1.6164,1.99683,2.14397,2.03222,1.24803,0.91436,0.57047,0.69355,0.41721,
50 to 54,0.39963,0.23736,0.24505,0.27127,0.58869,1.09918,1.14644,1.2196,1.44359,1.38993,1.90563,1.54348,0.93022,0.63936,0.52407,0.41346,
55 to 59,0.35238,0.26449,0.15202,0.12302,0.30955,0.54737,0.81373,0.67186,0.54318,0.64226,1.00273,1.49591,1.08038,0.71124,0.40134,0.24365,
60 to 64,0.26199,0.24631,0.11839,0.08305,0.12423,0.22762,0.3869,0.45385,0.36208,0.27388,0.36979,0.70217,1.0659,0.73956,0.69065,0.18469,
65 to 69,0.19076,0.16586,0.11845,0.06499,0.05235,0.08201,0.17068,0.26565,0.20312,0.13577,0.14151,0.30818,0.5811,0.84878,0.60977,0.26673,
70 to 74,0.12772,0.08791,0.09431,0.04114,0.05883,0.04416,0.09239,0.16297,0.14377,0.12489,0.10526,0.157,0.35758,0.36905,0.7103,0.23569,
75+,0.07024,0.0692,0.07817,0.03055,0.05068,0.03051,0.08394,0.06466,0.06819,0.11573,0.0968,0.11382,0.14707,0.17999,0.28685,0.18809,
