Contactant/Contactee,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75+
0 to 4,2.65905,1.69436,0.83947,0.47153,0.62182,1.06658,0.97309,0.96681,0.68496,0.39523,0.51613,0.73889,0.71872,0.45739,0.21972,0.17616,
5 to 9,2.14732,6.71847,3.08209,0.91776,0.47309,0.52698,1.07566,1.27719,1.03228,0.69599,0.51937,0.78373,0.70512,0.66794,0.58709,0.2352,
10 to 14,1.24741,2.27394,10.31348,3.02334,0.50976,0.2716,0.73579,0.96511,0.97023,0.68582,0.63182,0.45879,0.41273,0.49578,0.4158,0.29331,
15 to 19,0.77407,0.81322,1.45426,7.39138,2.61988,0.962,0.48462,0.85283,0.87492,1.0178,0.82361,0.68923,0.44602,0.33944,0.34344,0.23944,
20 to 24,1.15057,0.48049,0.70243,2.19299,4.00562,2.23192,1.14805,0.78752,0.93785,0.81503,0.82749,0.66455,0.54101,0.35525,0.0863,0.07431,
25 to 29,1.66057,1.10374,0.6386,1.16388,2.32554,3.18132,1.95502,1.48439,1.3133,1.05196,1.23555,1.07682,0.87898,0.63882,0.16862,0.06665,
30 to 34,1.82269,1.38365,0.86221,0.86923,1.55205,2.1615,2.44365,1.80007,1.71478,1.30007,1.29814,1.30601,1.00154,0.72084,0.13931,0.08823,
35 to 39,1.59268,1.43918,1.11404,1.12149,1.34419,1.74646,2.06332,2.38855,1.89387,1.51444,1.30877,1.14004,1.14497,0.48461,0.2387,0.14141,
40 to 44,1.09449,1.24517,1.24102,1.23328,1.1421,1.46803,1.64957,2.14289,2.22899,1.54902,1.7446,1.34786,1.12855,0.6477,0.23469,0.12549,
45 to 49,0.75787,0.64537,0.80521,1.11333,1.20507,1.22663,1.34955,1.49117,1.77303,1.59841,1.81067,1.17775,1.09155,0.49158,0.19663,0.13163,
50 to 54,0.9109,0.5055,0.52683,0.64087,0.88645,1.15015,1.06289,1.17002,1.35786,1.19537,1.51369,1.27704,0.98857,0.61478,0.18836,0.15113,
55 to 59,0.83446,0.55559,0.34016,0.33681,0.56867,0.67543,0.81393,0.68877,0.5994,0.70256,1.00949,0.99612,0.97622,0.48341,0.13061,0.08655,
60 to 64,0.6118,0.53647,0.27029,0.2378,0.32504,0.40699,0.46781,0.44978,0.45308,0.34749,0.44286,0.55982,0.4842,0.40992,0.19165,0.05339,
65 to 69,0.48258,0.36689,0.26908,0.17672,0.14533,0.17786,0.2177,0.24693,0.21356,0.17136,0.14172,0.18887,0.25449,0.1851,0.14588,0.07942,
70 to 74,0.32205,0.19004,0.20372,0.09043,0.11262,0.05423,0.07086,0.10824,0.08979,0.07013,0.05868,0.05357,0.09204,0.08434,0.12432,0.06079,
75+,0.16161,0.14036,0.16755,0.05957,0.09068,0.03194,0.06259,0.04333,0.04206,0.05964,0.0464,0.03872,0.03656,0.03924,0.07321,0.034,
